NOME DO CAMPO,SIGNIFICADO,POSIÇÃO,PICTURE,CONTEÚDO
TIPO DE REGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,001 001,9(01),1
CÓDIGO DE INSCRIÇÃO,TIPO DE INSCRIÇÃO DA EMPRESA,002 003,9(02),NOTA 1
NÚMERO DE INSCRIÇÃO,Nº DE INSCRIÇÃO DA EMPRESA (CPF/CNPJ),004 017,9(14),NOTA 1
AGÊNCIA,AGÊNCIA MANTENEDORA DA CONTA,018 021,9(04),
ZEROS,COMPLEMENTO DE REGISTRO,022 023,9(02),0
CONTA,NÚMERO DA CONTA CORRENTE DA EMPRESA,024 028,9(05),
DAC,DÍGITO DE AUTO CONFERÊNCIA AG/CONTA EMPRESA,029 029,9(01),
BRANCOS,COMPLEMENTO DE REGISTRO,030 033,X(04),,
INSTRUÇÃO/ALEGAÇÃO,CÓD.INSTRUÇÃO/ALEGAÇÃO A SER CANCELADA,034 037,9(04),NOTA 27
USO DA EMPRESA,IDENTIFICAÇÃO DO TÍTULO NA EMPRESA,038 062,X(25),NOTA 2
NOSSO NÚMERO,IDENTIFICAÇÃO DO TÍTULO NO BANCO,063 070,9(08),NOTA 3
QTDE DE MOEDA,QUANTIDADE DE MOEDA VARIÁVEL,071 083,V(08)V9(5),NOTA 4
Nº DA CARTEIRA,NÚMERO DA CARTEIRA NO BANCO,084 086,9(03),NOTA 5
USO DO BANCO,IDENTIFICAÇÃO DA OPERAÇÃO NO BANCO,087 107,X(21),
CARTEIRA,CÓDIGO DA CARTEIRA,108 108,X(01),NOTA 5
CÓD. DE OCORRÊNCIA,IDENTIFICAÇÃO DA OCORRÊNCIA,109 110,9(02),NOTA 6
Nº DO DOCUMENTO,"Nº DO DOCUMENTO DE COBRANÇA (DUPL.,NP ETC.)",111 120,X(10),NOTA 18
VENCIMENTO,DATA DE VENCIMENTO DO TÍTULO,121 126,9(06),NOTA 7
VALOR DO TÍTULO,VALOR NOMINAL DO TÍTULO,127 139,V(11)V9(2),NOTA 8
CÓDIGO DO BANCO,Nº DO BANCO NA CÂMARA DE COMPENSAÇÃO,140 142,9(03),341
AGÊNCIA COBRADORA,AGÊNCIA ONDE O TÍTULO SERÁ COBRADO,143 147,9(05),NOTA 9
ESPÉCIE,ESPÉCIE DO TÍTULO,148 149,X(02),NOTA 10
ACEITE,IDENTIFICAÇÃO DE TÍTULO ACEITO OU NÃO ACEITO,150 150,X(01),A/N
DATA DE EMISSÃO,DATA DA EMISSÃO DO TÍTULO,151 156,9(06),NOTA 31
INSTRUÇÃO 1,1ª INSTRUÇÃO DE COBRANÇA,157 158,X(02),NOTA 11
INSTRUÇÃO 2,2ª INSTRUÇÃO DE COBRANÇA,159 160,X(02),NOTA 11
JUROS DE 1 DIA,VALOR DE MORA POR DIA DE ATRASO,161 173,V(11)V9(2),NOTA 12
DESCONTO ATÉ,DATA LIMITE PARA CONCESSÃO DE DESCONTO,174 179,9(06),DDMMAA
VALOR DO DESCONTO,VALOR DO DESCONTO A SER CONCEDIDO,180 192,V(11)V9(2),NOTA 13
VALOR DO I.O.F.,VALOR DO I.O.F. RECOLHIDO P/ NOTAS SEGURO,193 205,V(11)V((2),NOTA 14
ABATIMENTO,VALOR DO ABATIMENTO A SER CONCEDIDO,206 218,9(11)V9(2),NOTA 13
CÓDIGO DE INSCRIÇÃO,IDENTIFICAÇÃO DO TIPO DE INSCRIÇÃO/PAGADOR,219 220,9(02),01=CPF 02=CNPJ
NÚMERO DE INSCRIÇÃO,Nº DE INSCRIÇÃO DO PAGADOR (CPF/CNPJ),221 234,9(14),
NOME,NOME DO PAGADOR,235 264,X(30),NOTA 15,
BRANCOS,COMPLEMENTO DE REGISTRO,265 274,X(10),NOTA 15,
LOGRADOURO RUA, NÚMERO E COMPLEMENTO DO PAGADOR,275 314,X(40)
BAIRRO,BAIRRO DO PAGADOR,315 326,X(12),
CEP,CEP DO PAGADOR,327 334,9(08),,
CIDADE,CIDADE DO PAGADOR,335 349,X(15),,
ESTADO,UF DO PAGADOR,350 351,X(02),,
SACADOR/AVALISTA,NOME DO SACADOR OU AVALISTA,352 381,X(30),NOTA 16,
BRANCOS,COMPLEMENTO DO REGISTRO,382 385,X(04),,
DATA DE MORA,DATA DE MORA,386 391,9(06),,
PRAZO,QUANTIDADE DE DIAS,392 393,9(02),NOTA 11 (A),
BRANCOS,COMPLEMENTO DO REGISTRO,394 394,X(01),
NÚMERO SEQÜENCIAL,Nº SEQÜENCIAL DO REGISTRO NO ARQUIVO,395 400,9(06)
